dataset,figure,model,solution,source_id,source_kind,source_locator,source_sha256,value,value_note
LM,fig11_speedup_matg,JODIE,RTGA,vector_fig11,vector_geometry_digitization,Fig.11 bar:JODIE/LM/RTGA,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,2.2464,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
WT,fig11_speedup_matg,JODIE,RTGA,vector_fig11,vector_geometry_digitization,Fig.11 bar:JODIE/WT/RTGA,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,2.1458,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
GT,fig11_speedup_matg,JODIE,RTGA,vector_fig11,vector_geometry_digitization,Fig.11 bar:JODIE/GT/RTGA,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,2.0956,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
WK,fig11_speedup_matg,TGN,RTGA,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGN/WK/RTGA,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.9769,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
MC,fig11_speedup_matg,TGN,RTGA,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGN/MC/RTGA,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.9176,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
RT,fig11_speedup_matg,TGN,RTGA,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGN/RT/RTGA,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,2.0454,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
LM,fig11_speedup_matg,TGN,RTGA,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGN/LM/RTGA,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,2.2966,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
WT,fig11_speedup_matg,TGN,RTGA,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGN/WT/RTGA,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,2.1962,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
GT,fig11_speedup_matg,TGN,RTGA,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGN/GT/RTGA,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,2.1458,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
WK,fig11_speedup_matg,TGAT,RTGA,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGAT/WK/RTGA,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.8491,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
MC,fig11_speedup_matg,TGAT,RTGA,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGAT/MC/RTGA,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.7989,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
RT,fig11_speedup_matg,TGAT,RTGA,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGAT/RT/RTGA,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.8993,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
LM,fig11_speedup_matg,TGAT,RTGA,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGAT/LM/RTGA,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,2.1458,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
WT,fig11_speedup_matg,TGAT,RTGA,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGAT/WT/RTGA,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.9495,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
GT,fig11_speedup_matg,TGAT,RTGA,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGAT/GT/RTGA,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.9952,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
WK,fig11_speedup_matg,APAN,RTGA,vector_fig11,vector_geometry_digitization,Fig.11 bar:APAN/WK/RTGA,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.9952,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
MC,fig11_speedup_matg,APAN,RTGA,vector_fig11,vector_geometry_digitization,Fig.11 bar:APAN/MC/RTGA,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,1.9495,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
RT,fig11_speedup_matg,APAN,RTGA,vector_fig11,vector_geometry_digitization,Fig.11 bar:APAN/RT/RTGA,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,2.0773,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
LM,fig11_speedup_matg,APAN,RTGA,vector_fig11,vector_geometry_digitization,Fig.11 bar:APAN/LM/RTGA,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,2.3468,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
WT,fig11_speedup_matg,APAN,RTGA,vector_fig11,vector_geometry_digitization,Fig.11 bar:APAN/WT/RTGA,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,2.2464,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
GT,fig11_speedup_matg,APAN,RTGA,vector_fig11,vector_geometry_digitization,Fig.11 bar:APAN/GT/RTGA,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,2.1962,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
AVG,fig11_speedup_matg,AVG,RTGA,vector_fig11,vector_geometry_digitization,Fig.11 AVG bar:RTGA,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,2.0591,"Digitized from the explicit AVG bar, not recomputed from rounded point values."
WK,fig11_speedup_matg,JODIE,TempGNN,vector_fig11,vector_geometry_digitization,Fig.11 bar:JODIE/WK/TempGNN,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,7.8392,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
MC,fig11_speedup_matg,JODIE,TempGNN,vector_fig11,vector_geometry_digitization,Fig.11 bar:JODIE/MC/TempGNN,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,7.41,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
RT,fig11_speedup_matg,JODIE,TempGNN,vector_fig11,vector_geometry_digitization,Fig.11 bar:JODIE/RT/TempGNN,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,8.0902,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
LM,fig11_speedup_matg,JODIE,TempGNN,vector_fig11,vector_geometry_digitization,Fig.11 bar:JODIE/LM/TempGNN,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,6.1408,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
WT,fig11_speedup_matg,JODIE,TempGNN,vector_fig11,vector_geometry_digitization,Fig.11 bar:JODIE/WT/TempGNN,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,8.6381,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
GT,fig11_speedup_matg,JODIE,TempGNN,vector_fig11,vector_geometry_digitization,Fig.11 bar:JODIE/GT/TempGNN,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,10.2361,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
WK,fig11_speedup_matg,TGN,TempGNN,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGN/WK/TempGNN,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,7.9076,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
MC,fig11_speedup_matg,TGN,TempGNN,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGN/MC/TempGNN,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,7.5425,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
RT,fig11_speedup_matg,TGN,TempGNN,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGN/RT/TempGNN,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,8.241,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
LM,fig11_speedup_matg,TGN,TempGNN,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGN/LM/TempGNN,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,6.3417,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
WT,fig11_speedup_matg,TGN,TempGNN,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGN/WT/TempGNN,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,8.9395,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
GT,fig11_speedup_matg,TGN,TempGNN,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGN/GT/TempGNN,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,10.6379,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
WK,fig11_speedup_matg,TGAT,TempGNN,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGAT/WK/TempGNN,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,6.2412,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
MC,fig11_speedup_matg,TGAT,TempGNN,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGAT/MC/TempGNN,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,5.9445,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
RT,fig11_speedup_matg,TGAT,TempGNN,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGAT/RT/TempGNN,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,6.4421,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
LM,fig11_speedup_matg,TGAT,TempGNN,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGAT/LM/TempGNN,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,5.1455,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
WT,fig11_speedup_matg,TGAT,TempGNN,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGAT/WT/TempGNN,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,6.8392,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
GT,fig11_speedup_matg,TGAT,TempGNN,vector_fig11,vector_geometry_digitization,Fig.11 bar:TGAT/GT/TempGNN,e2f655b815ea93b42fd8b4d07a3338108b05d526538a508a06911ee8a44f9699,7.5425,Digitized from vector bar geometry; expected uncertainty is about +/-0.02 normalized unit.
