figure,model,dataset,solution,x,value,source_id,source_kind,source_locator,source_sha256,value_note
fig4a_branch_parallelism_ratio,ALL,RT,BPR (%),,76.8,vector_fig4,vector_geometry_digitization,Fig.4(a) bar:RT,c97190cf681525f096318bf78da17ddedc9d0c440b8544665953c792405acf5f2,Digitized from the vector bar boundary and calibrated axis; rounded to 0.1 percentage point.
fig4a_branch_parallelism_ratio,ALL,LM,BPR (%),,68.3,vector_fig4,vector_geometry_digitization,Fig.4(a) bar:LM,c97190cf681525f096318bf78da17ddedc9d0c440b8544665953c792405acf5f2,Digitized from the vector bar boundary and calibrated axis; rounded to 0.1 percentage point.
fig4a_branch_parallelism_ratio,ALL,WT,BPR (%),,88.6,vector_fig4,vector_geometry_digitization,Fig.4(a) bar:WT,c97190cf681525f096318bf78da17ddedc9d0c440b8544665953c792405acf5f2,Digitized from the vector bar boundary and calibrated axis; rounded to 0.1 percentage point.
fig4a_branch_parallelism_ratio,ALL,GT,BPR (%),,91.2,vector_fig4,vector_geometry_digitization,Fig.4(a) bar:GT,c97190cf681525f096318bf78da17ddedc9d0c440b8544665953c792405acf5f2,Digitized from the vector bar boundary and calibrated axis; rounded to 0.1 percentage point.
fig9b_gpu_overhead_breakdown,JODIE,WK,Warp divergence,,38.2,workbook_b,exact_workbook_value,Sheet1!J3,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,Exact numeric cell from the author plotting workbook.
fig9b_gpu_overhead_breakdown,JODIE,WK,Dependency synchronization,,37.5,workbook_b,exact_workbook_value,Sheet1!K3,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,Exact numeric cell from the author plotting workbook.
fig9b_gpu_overhead_breakdown,JODIE,WK,Dynamic dependency bookkeeping,,24.3,workbook_b,exact_workbook_value,Sheet1!L3,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,Exact numeric cell from the author plotting workbook.
fig9b_gpu_overhead_breakdown,JODIE,MC,Warp divergence,,40.5,workbook_b,exact_workbook_value,Sheet1!J4,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,Exact numeric cell from the author plotting workbook.
fig9b_gpu_overhead_breakdown,JODIE,MC,Dependency synchronization,,36.2,workbook_b,exact_workbook_value,Sheet1!K4,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,Exact numeric cell from the author plotting workbook.
fig9b_gpu_overhead_breakdown,JODIE,MC,Dynamic dependency bookkeeping,,23.3,workbook_b,exact_workbook_value,Sheet1!L4,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,Exact numeric cell from the author plotting workbook.
